RECIPE NAME,RECIPE CODE,CATEGORY,RESTAURANT,FINAL PRICE,MERIDES,HIDE FROM APP,RECIPE INGREDIENTS,RECIPE COST,RECIPE COST composite,RECIPE COST / MERIDES,VAT,VAT 13%,VAT 13% composite,TOTAL,TOTAL/MERIDA,TOTAL / MERIDA composite,x3,x4,INGREDIENTS,OIK104 MENU INGREDIENTS,OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS copy,OIK512 MENU_,COMMON OR REMOVE (from OIK512 MENU_),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS copy
BIANCO,,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,OIK104,"€0,0",1,,"BIANCO,BIANCO,BIANCO,BIANCO,BIANCO,BIANCO,BIANCO,BIANCO","1,07","1,07","1,07",13,"0,14","0,14","1,21","1,21","1,21","3,62","4,82",,,,,BIANCO,,"BIANCO, BIANCO, BIANCO, BIANCO, BIANCO, BIANCO, BIANCO",
DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,,ΕΝΔΙΑΜΕΣΑ,OIK104,,1,,"DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ","0,53","0,53","0,53",13,"0,07","0,07","0,60","0,60","0,60","1,79","2,39",DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,,,,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,,"DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ",
DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,,ΕΝΔΙΑΜΕΣΑ,OIK104,,1,,"DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ","0,93","0,93","0,93",13,"0,12","0,12","1,05","1,05","1,05","3,14","4,19",DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,,,,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,,"DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ",
MEDALLION,,ΤΥΡΙΑ,OIK104,,1,,MEDALLION,"0,88","0,88","0,88",13,"0,11","0,11","0,99","0,99","0,99","2,97","3,96",,,,,MEDALLION,,MEDALLION,
REZZANO,,ΤΥΡΙΑ,OIK104,,1,,REZZANO,"1,01","1,01","1,01",13,"0,13","0,13","1,14","1,14","1,14","3,42","4,56",,,,,REZZANO,,REZZANO,
TΣΑΛΑΦΟΥΤΙ,,ΤΥΡΙΑ,OIK104,,1,,TΣΑΛΑΦΟΥΤΙ,"0,28","0,28","0,28",13,"0,04","0,04","0,31","0,31","0,31","0,93","1,24",,,,,TΣΑΛΑΦΟΥΤΙ,,TΣΑΛΑΦΟΥΤΙ,
VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),,ΕΠΙΔΟΡΠΙΑ,OIK104,"€7,0",16,,"VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR)","8,82","8,82","0,55",13,"1,15","1,15","9,97","0,62","0,62","1,87","2,49",ΧΟΙΡΙΝΗ ΛΑΙΜΟΥ,,,,VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),,"VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR)",
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,OIK104,,1,,"ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ","20,90","20,90","20,90",13,"2,72","2,72","23,62","23,62","23,62","70,87","94,49",,,,,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,"ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ",
ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,OIK104,,1,,"ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ","18,97","18,97","18,97",13,"2,47","2,47","21,44","21,44","21,44","64,32","85,76",,,,,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,"ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ",
ΑΡΝΙ ΚΟΤΣΙ,,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,OIK104,"€16,0",1,,"ΑΡΝΙ ΚΟΤΣΙ,ΑΡΝΙ ΚΟΤΣΙ","2,58","2,58","2,58",13,"0,34","0,34","2,92","2,92","2,92","8,75","11,67",,,,,ΑΡΝΙ ΚΟΤΣΙ,,"ΑΡΝΙ ΚΟΤΣΙ, ΑΡΝΙ ΚΟΤΣΙ",
