Ingredient,Supplier,Cost per kg,Select,Ingredient Category,Cost Kg w Composite,Composite cost,TOTAL/MERIDA (from Composite cost),Imported table,OIK104 MENU INGREDIENTS copy,datecreated,OIK104 MENU,OIK104 MENU copy,OIK104 MENU INGREDIENTS copy,SUPPLIES 2025,SUPPLIES 2026,Q 2025 (from SUPPLIES 2026),Q 2026 (from SUPPLIES 2026),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS
ΒΑΣΙΛΙΚΟΣ,ΜΠΕΛΟΣ,"1,40",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,40",,,"ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ,ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ,ΣΑΛΤΣΑ ΠΙΤΣΑΣ,ΠΙΤΣΑ ΜΠΙΑΝΚΑ",,6/4/2025 8:28am,,,"ΠΙΤΣΑ ΜΠΙΑΝΚΑ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ",,,,,"ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ, ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ, ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ, ΣΑΛΤΣΑ ΠΙΤΣΑΣ",
ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ,ΜΠΟΥΤΣΩΛΗΣ,,CONNECTED INGREDIENTS,ΤΥΡΙΑ,,,,"ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ,ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ,ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ",,15/4/2025 3:16pm,,,,,,,,"ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ, ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ, ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ",
ΞΙΝΟ ΝΕΡΟ 250,,,CONNECTED INGREDIENTS,,,,,,,2/9/2025 2:19pm,,,,,,,,,
CHIA ΣΠΟΡΟΙ ,ΕΡΜΗΣ,"3,89",CONNECTED INGREDIENTS,SUPER FOOD,"3,89",,,VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),,6/4/2025 8:19am,,,,,,,,VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),
DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,60",DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,"0,60",,,9/4/2025 8:55am,,,,,,,,,
DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,,,CONNECTED INGREDIENTS,COMPOSITE,"1,05",DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,"1,05",,,9/4/2025 8:55am,,,,,,,,,
GOJIBERRIES ΑΠΟΞΗΡΑΜΕΝΑ,,"7,10",CONNECTED INGREDIENTS,SUPER FOOD,"7,10",,,,,6/4/2025 8:19am,,,,,,,,,
MEDALLION,,"17,50",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"17,50",,,"ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ,MEDALLION",,15/4/2025 3:18pm,,,,,,,,"ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ, MEDALLION",
MEDALLION ΚΑΤΣ.ΜΑΛ.ΤΥΡΙ ΠΑΠΡΙΚΑ-ΒΑΣ 100γρ,ΙΝΑΧΟΣ,"1,75",CONNECTED INGREDIENTS,ΤΥΡΟΚΟΜΙΚΑ,"1,75",,,,,6/4/2025 8:19am,,,,MEDALLION ΚΑΤΣ.ΜΑΛ.ΤΥΡΙ ΠΑΠΡΙΚΑ-ΒΑΣ 100γρ,,,,,
REZZANO,,"20,19",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"20,19",,,"ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ,REZZANO",,15/4/2025 3:16pm,,,,,,,,"ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ, REZZANO",
