RECIPENAME,RECIPE NAME,NEW RECIPE NAME,INGREDIENT CODE,IME CODe,INGREDIENT,NEW INGREDIENT NAME,GRAMS,CATEGORY,KG / TMX,COMMENTS,Cost per Kg,costcost,OIK104 MENU,Ingredient (from Ingredient Name),Kg per Recipe,Cost per Recipe,costcosrecipe,OIK104 MENU copy,CATEGORY_,RESTAURANT (from OIK104 MENU),OIK512 MENU INGREDIENTS_,RESTAURANT (from OIK512 MENU_) (from OIK512 MENU INGREDIENTS_)
BIANCO,BIANCO,,,,ΕΛΑΙΟΛΑΔΟ,,70,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"5,76","5,76",,ΕΛΑΙΟΛΑΔΟ,"0,07","0,40","0,40",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΚΑΡΟΤΑ,,80,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,70","0,70",,ΚΑΡΟΤΑ,"0,08","0,06","0,06",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΚΡΕΜΜΥΔΙ,,80,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,,,,ΚΡΕΜΜΥΔΙ,"0,08","0,00","0,00",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΛΕΜΟΝΙ,,50,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,75","0,75",,ΛΕΜΟΝΙ,"0,05","0,04","0,04",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΠΑΤΑΤΕΣ,,100,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,55","0,55",,ΠΑΤΑΤΕΣ,"0,10","0,06","0,06",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΠΙΠΕΡΙ ΜΑΥΡΟ,,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"14,44","14,44",,ΠΙΠΕΡΙ ΜΑΥΡΟ,"0,01","0,14","0,14",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΣΕΛΙΝΟ,,80,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"1,20","1,20",,ΣΕΛΙΝΟ,"0,08","0,10","0,10",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΣΚΟΡΔΑ,,50,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"5,50","5,50",,ΣΚΟΡΔΑ,"0,05","0,28","0,28",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΑΛΑΤΙ,,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,89","0,89",,ΑΛΑΤΙ,"0,01","0,01","0,01",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΑΡΝΙ ΧΕΡΑΚΙ,,2000,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"8,98","8,98",,ΑΡΝΙ ΧΕΡΑΚΙ,"2,00","17,96","17,96",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
